FoodId,FoodDescription
327,"Breakfast cereal, mixed grain (wheat & oat), flakes, apricot & sultana, added vitamins B1, B2, B3 & folate & Fe"
328,"Breakfast cereal, mixed grain (wheat, oat & corn), extruded, added vitamins B1, B2, B3, B6, C & folate, Ca & Fe"
329,"Breakfast cereal, mixed grain (wheat, rice & oat), flakes, honey, unfortified"
330,"Breakfast cereal, puffed or popped rice, added vitamins B1, B2, B3, C & folate, Fe & Zn"
331,"Breakfast cereal, puffed or popped rice, cocoa coating, added vitamins B1, B2, B3, C & folate, Ca, Fe & Zn"
332,"Breakfast cereal, puffed or popped rice, no added sugar or salt, unfortified"
334,"Breakfast cereal, wheat bran, flakes, sultanas, added vitamins B1, B2, B3, B6 & folate, Fe & Zn"
335,"Breakfast cereal, wheat bran, pellets, added vitamins B1, B2 & folate, Fe & Zn"
336,"Breakfast cereal, whole wheat, biscuit, added vitamins B1, B2, B3 & folate, Fe & Zn"
337,"Breakfast cereal, whole wheat, biscuit, bran, added vitamins B1, B2, B3 & folate & Fe"
338,"Breakfast cereal, whole wheat, biscuit, no added sugar, unfortified"
339,"Breakfast cereal, whole wheat, flakes, dried fruit & nuts, added fibre, vitamins B1, B2, B3 & folate, Ca & Fe"
340,"Breakfast cereal, whole wheat, puffed, no added sugar or salt, unfortified"
341,"Bream, fillet, baked, no added fat"
342,"Bream, fillet, raw"
343,"Bream, fillet, steamed, no added fat"
344,"Broccoli, fresh, baked, no added fat"
345,"Broccoli, fresh, boiled, drained"
346,"Broccoli, fresh, microwaved"
347,"Broccoli, fresh, raw"
348,"Broccolini, fresh, boiled, drained"
349,"Broccolini, fresh, raw"
350,"Brussels sprout, fresh, boiled, drained"
351,"Brussels sprout, fresh, raw"
352,"Buckwheat groats, cooked in water, no added salt"
353,"Buckwheat groats, uncooked"
354,"Buffalo, riverine, cube roll, raw"
355,"Buffalo, riverine, topside, raw"
356,"Buffalo, swamp, cube roll, raw"
357,"Buffalo, swamp, topside, raw"
358,"Bulgur, soaked in water, no added fat or salt"
359,"Bulgur, uncooked"
360,"Bun, sweet, hot cross bun, with dried fruit"
361,"Bun, sweet, with dried fruit, iced"
362,"Bun, sweet, with dried fruit, uniced"
364,"Butter, plain, no added salt"
365,"Butter, plain, salted"
366,"Cabbage, Chinese flowering, boiled, drained"
367,"Cabbage, Chinese flowering, raw"
368,"Cabbage, Chinese, boiled, drained"
369,"Cabbage, Chinese, raw"
370,"Cabbage, mustard, boiled, drained"
371,"Cabbage, mustard, raw"
372,"Cabbage, red, boiled, drained"
373,"Cabbage, red, raw"
374,"Cabbage, savoy, boiled, drained"
375,"Cabbage, savoy, raw"
376,"Cabbage, white, boiled, drained"
377,"Cabbage, white, raw"
378,"Cake mix, plain, dry powder"
379,"Cake, carrot, commercial, iced"
380,"Cake, carrot, homemade, iced"
381,"Cake, carrot, homemade, uniced"
382,"Cake, chocolate, homemade, iced"
383,"Cake, chocolate, homemade, uniced"
384,"Cake, fruit, homemade, uniced"
385,"Cake, lamington, unfilled"
386,"Cake, mud, dark chocolate, commercial, chocolate ganache icing"
387,"Cake, mud, dark chocolate, homemade, chocolate ganache icing"
388,"Cake, mud, dark chocolate, homemade, uniced"
389,"Cake, plain butter cake, commercial, iced"
390,"Cake, plain butter cake, commercial, uniced"
391,"Cake, plain butter cake, homemade, iced"
392,"Cake, plain butter cake, homemade, uniced"
393,"Cake, sponge, plain, commercial, uniced, filled with jam & cream"
394,"Cake, sponge, plain, commercial, uniced, unfilled"
395,"Camel, cube roll, raw"
396,"Camel, rump, raw"
397,"Camel, steak, as purchased, fried, no added fat"
398,"Camel, steak, as purchased, raw"
399,"Capers, pickled, canned, drained"
400,"Capsicum, green, fresh, fried, no added fat"
401,"Capsicum, green, fresh, raw"
402,"Capsicum, red, fresh, fried, no added fat"
403,"Capsicum, red, fresh, raw"
404,"Caramels, soft & hard"
405,"Cardamom seed, dried, ground"
406,"Carrot, baby, baked, no added fat"
407,"Carrot, baby, peeled, fresh, boiled, drained"
408,"Carrot, baby, peeled, fresh, raw"
409,"Carrot, mature, peeled, fresh, baked, no added fat"
410,"Carrot, mature, peeled, fresh, boiled, drained"
411,"Carrot, mature, peeled, fresh, raw"
412,"Cassava, peeled, fresh, boiled, drained"
413,"Cassava, peeled, fresh, raw"
414,"Cassava, white flesh, peeled, fresh, boiled, drained"
415,"Cassava, white flesh, peeled, fresh, raw"
416,"Cassava, yellow flesh, peeled, fresh, boiled, drained"
417,"Cassava, yellow flesh, peeled, fresh, raw"
418,"Cauliflower, fresh, boiled, drained"
419,"Cauliflower, fresh, raw"
420,"Celeriac, peeled, boiled, drained"
421,"Celeriac, peeled, raw"
422,"Celery, fresh, fried, no added fat"
423,"Celery, fresh, raw"
424,"Cheese, blue vein"
425,"Cheese, bocconcini"
426,"Cheese, brie"
428,"Cheese, camembert"
429,"Cheese, cheddar, natural, reduced fat (approximately 15%)"
430,"Cheese, cheddar, natural, reduced fat (approximately 25%)"
431,"Cheese, cheddar, natural, regular fat"
432,"Cheese, cheddar, processed, reduced fat (approximately 15%), added vitamin D"
433,"Cheese, cheddar, processed, regular fat"
435,"Cheese, cottage"
436,"Cheese, cream, plain"
437,"Cheese, edam"
438,"Cheese, fetta (feta)"
439,"Cheese, goat, firm"
